station_id,start_counts,end_counts,start_station_name,start_station_latitude,start_station_longitude
299.0,79,38,Bestor Art Park,37.3236779,-121.8741186
275.0,78,71,Julian St at 6th St,37.3429973,-121.88888909999999
237.0,77,102,Fruitvale BART Station,37.7752321,-122.22449820000001
295.0,75,82,William St at 10th St,37.3327938,-121.8759263
227.0,74,75,Foothill Blvd at Fruitvale Ave,37.78375689999999,-122.2226033
306.0,73,82,Saint James Park,37.339301,-121.88993700000002
286.0,70,83,San Carlos St at 11th St,37.3364659,-121.8766132
216.0,68,69,San Pablo Ave at 27th St,37.8178269,-122.2756976
206.0,67,67,College Ave at Bryant Ave,37.8381269,-122.25127140000002
191.0,66,49,Market St at 40th St,37.8305452,-122.27393670000001
292.0,59,47,Empire St at 1st St,37.3448821,-121.89696550000001
236.0,58,59,Market St at 8th St,37.8036865,-122.28249699999999
360.0,57,62,Newhall St at 3rd St,37.738571871267254,-122.38961778581141
361.0,57,57,Mendell St at Fairfax Ave,37.73985301798413,-122.38565549254416
222.0,57,37,10th Ave at E 15th St,37.7927143,-122.24877959999999
217.0,55,49,27th St at MLK Jr Way,37.817015399999995,-122.2717615
209.0,55,67,45th St at MLK Jr Way,37.83355770000001,-122.2674183
46.0,53,61,San Antonio Park,37.790139851853645,-122.24237322807312
358.0,50,51,Williams Ave at 3rd St,37.72927865173028,-122.39289611577988
283.0,50,54,Delmas Ave and San Fernando St,37.3302641,-121.8977018
297.0,49,45,Locust St at Grant St,37.322979600000004,-121.8879312
318.0,48,52,San Carlos St at Market St,37.330698,-121.888979
362.0,36,46,Lane St at Revere Ave,37.73172669352171,-122.39005565643309
228.0,35,16,Foothill Blvd at Harrington Ave,37.77993,-122.2177284
288.0,34,25,Mission St at 1st St,37.3509643,-121.90201609999998
287.0,34,38,Almaden Blvd at Balbach St,37.32673,-121.8892731
307.0,32,42,SAP Center,37.332692,-121.900084
290.0,31,34,George St at 1st St,37.3477319,-121.899464
298.0,30,28,Oak St at 1st St,37.32212462544857,-121.88109040260315
378.0,29,28,Empire St at 7th St,37.34774456553247,-121.89079999923706
359.0,25,20,Williams Ave at Apollo St,37.730167508150885,-122.39896327257156
229.0,23,20,Foothill Blvd at 42nd Ave,37.7757452,-122.2130372
226.0,19,19,26th Ave at International Blvd,37.781123,-122.2329915
303.0,19,30,San Pedro St at Hedding St,37.352601,-121.90573300000001
225.0,18,20,23rd Ave at Foothill Blvd,37.785191499999996,-122.2343822
234.0,18,20,Farnam St at Fruitvale Ave,37.778058,-122.2254
398.0,17,12,Leavenworth St at Broadway,37.796470691622936,-122.4168576300144
388.0,17,21,Backesto Park (Jackson St at 13th St),37.352886827291215,-121.88604980707169
389.0,13,11,Taylor St at 9th St,37.35306166133104,-121.89193725585936
301.0,9,5,Willow St at Vine St,37.318449799999996,-121.88317240000002
51.0,7,9,Parker Ave at McAllister St,37.77610091264586,-122.4530929327011
300.0,4,7,Palm St at Willow St,37.3172979,-121.88499499999999
224.0,4,6,21st Ave at International Blvd,37.78485466229441,-122.23930478096008
344.0,2,6,16th St Depot,37.76634858593738,-122.39629179239272
